Samples	Part.dates	Part.GPS.PAM	Part.SparCC.PAM.t0	Part.SJD.PAM.t0	Part.Dir.t0	Part.month
1	AE01	20131030	1	1	1	2	201310
2	AE02	20131030	1	1	1	2	201310
3	AE03	20131030	1	2	1	2	201310
4	AE04	20131030	1	3	1	1	201310
5	AE06	20131030	1	1	1	2	201310
6	AE07	20131030	1	1	2	2	201310
7	AE08	20131030	1	1	1	3	201310
8	AE09	20131030	1	3	1	2	201310
9	AE10	20131030	1	2	3	3	201310
10	AE102	20131118	1	3	1	2	201311
11	AE104	20131118	1	4	3	4	201311
12	AE105	20131118	1	4	4	4	201311
13	AE106	20131118	1	4	4	4	201311
14	AE108	20131118	1	4	4	4	201311
15	AE109	20131118	1	4	3	4	201311
16	AE11	20131030	1	5	2	4	201310
17	AE111	20131118	1	5	1	3	201311
18	AE112	20131121	1	4	4	4	201311
19	AE113	20131121	1	4	4	4	201311
20	AE114	20131121	1	4	4	4	201311
21	AE115	20131121	1	4	4	4	201311
22	AE117	20131121	1	5	5	4	201311
23	AE118	20131121	1	4	5	1	201311
24	AE119	20131121	1	5	5	1	201311
25	AE120	20131121	1	5	5	1	201311
26	AE122	20131121	1	4	4	1	201311
27	AE123	20131121	1	5	5	4	201311
28	AE124	20131121	1	5	5	1	201311
29	AE125	20131121	1	4	4	1	201311
30	AE127	20131121	1	5	5	4	201311
31	AE128	20131121	1	5	5	1	201311
32	AE13	20131030	1	1	3	1	201310
33	AE130	20131121	1	5	5	2	201311
34	AE131	20131121	1	4	5	1	201311
35	AE133	20131121	1	5	5	1	201311
36	AE134	20131121	1	5	5	1	201311
